method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.3,test,CPUTime,100,35172.82321533203,27210.2783203125,104653.921875,19.24046608923689,0.9325529493151561,1473.9988996478874
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.3,train,CPUTime,100,44588.07612426758,34659.36730957031,249499.3377685547,0.8760253421858399,0.9044148173468304,0.9920648035489956
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.3,val,CPUTime,100,20174.30620361328,16779.103515625,70935.94995117188,2.2185088300936138,0.8469806258487749,15.276246711719883
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.2,test,CPUTime,100,33054.6166986084,26370.971618652344,76447.38879394531,0.9099939281259161,0.9404582544375473,0.9858268970182856
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.2,train,CPUTime,100,44141.36898803711,34505.22302246094,248726.0517578125,0.8651751967669504,0.9115004015669814,0.9954688982493464
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.2,val,CPUTime,100,17336.392973022463,12995.99169921875,68247.7470703125,0.7938238748804235,0.8013623065672818,5.2602303375852575
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.3,test,CPUTime,100,33088.08817077637,26180.03155517578,76253.7333984375,0.8995649375215125,0.9327361335832043,0.9833934609026386
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.3,train,CPUTime,100,44397.51771087646,35518.76159667969,248527.47338867188,1.4831501121972055,0.9133704040422645,46.71013274016204
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_elu_drop_0.3,val,CPUTime,100,17641.738166809082,13637.662841796875,68476.45947265625,0.7424430373414588,0.7718444092632084,0.9816503124550284
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.2,test,CPUTime,100,36417.92715698242,27680.73651123047,150579.90625,27.374347777672593,0.9426860368621266,2120.84375
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.2,train,CPUTime,100,45229.3795111084,35549.85595703125,249929.17504882812,0.8894292470776572,0.9170321216217203,0.9937739320814654
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.2,val,CPUTime,100,20477.603399658205,17041.37890625,71637.66357421875,2.258951732305299,0.8621712157904746,15.516493842978957
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3,test,CPUTime,100,40068.73062744141,27038.616638183594,350387.1875,62.02478720377115,0.9411377248763622,4935.030809859155
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3,train,CPUTime,100,42823.85297088623,33384.822509765625,248293.9978027344,1.7682307342441315,0.8944971800405215,35.80508397905314
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.3,val,CPUTime,100,17986.682467803956,14258.958984375,68144.7509765625,1.354090547116513,0.811746780384193,8.113229516282656
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.2,test,CPUTime,100,32735.82318786621,25536.356353759766,74948.41967773438,0.9076459624773185,0.9410615728378572,0.9783098967014844
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.2,train,CPUTime,100,41120.05799255371,32958.8359375,244752.669921875,0.8089164696089054,0.8267762937954787,0.9991489790587808
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.2,val,CPUTime,100,19011.665405807496,15230.467041015625,66624.15283203125,0.7689712698567931,0.7108123935511633,0.9943003749157514
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.3,test,CPUTime,100,32622.912427978517,25312.68621826172,74460.70190429688,0.887923425106395,0.9258466565556952,0.9717046179297576
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.3,train,CPUTime,100,41409.205770874025,32726.383544921875,245654.30810546875,0.8113353842716999,0.8088896312536351,1.2831275338988826
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_elu_drop_0.3,val,CPUTime,100,19284.917425231935,16238.7783203125,66772.7744140625,0.7659821639840578,0.7416351982033621,0.97947519153722
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.2,test,CPUTime,100,33533.35296813965,26471.158264160156,75033.76098632812,5.425142967889999,0.9361465538709726,364.784413512324
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.2,train,CPUTime,100,40651.65850708008,31178.651611328125,246791.095703125,1.3710685081798135,0.8247860377731453,40.09674750434028
